converted_mode,original_height,original_mode,original_width,output_file,source_file
RGB,4032,RGB,3024,data\working_png\IMG_0502.png,data\raw_originals\IMG_0502.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0503.png,data\raw_originals\IMG_0503.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0504.png,data\raw_originals\IMG_0504.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0505.png,data\raw_originals\IMG_0505.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0506.png,data\raw_originals\IMG_0506.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0507.png,data\raw_originals\IMG_0507.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0508.png,data\raw_originals\IMG_0508.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0509.png,data\raw_originals\IMG_0509.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0510.png,data\raw_originals\IMG_0510.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0511.png,data\raw_originals\IMG_0511.HEIC
RGB,4032,RGB,3024,data\working_png\IMG_0512.png,data\raw_originals\IMG_0512.HEIC
