source_file,grayscale_file,grayscale_bgr2gray_file,grayscale_lab_l_file,grayscale_ycrcb_y_file,gaussian_file,bilateral_file,width,height,processing_step,grayscale_method,gaussian_kernel_size,gaussian_sigma_x,bilateral_diameter,bilateral_sigma_color,bilateral_sigma_space,read_time_ms,processing_time_ms,write_time_ms,total_time_ms
data\processed\01_illumination_normalized\IMG_0502.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0502.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0502.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,133.193,213.956,806.004,1153.217
data\processed\01_illumination_normalized\IMG_0503.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0503.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0503.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,240.658,179.123,864.992,1284.858
data\processed\01_illumination_normalized\IMG_0504.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0504.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0504.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,288.055,232.779,1019.121,1540.014
data\processed\01_illumination_normalized\IMG_0505.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0505.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0505.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,199.378,168.127,711.951,1079.509
data\processed\01_illumination_normalized\IMG_0506.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0506.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0506.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,174.933,149.725,770.153,1094.888
data\processed\01_illumination_normalized\IMG_0507.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0507.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0507.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,203.147,152.224,763.526,1118.981
data\processed\01_illumination_normalized\IMG_0508.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0508.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0508.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,212.728,184.379,798.222,1195.387
data\processed\01_illumination_normalized\IMG_0509.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0509.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0509.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,203.331,169.14,734.747,1107.282
data\processed\01_illumination_normalized\IMG_0510.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0510.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0510.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,186.598,160.561,754.38,1101.59
data\processed\01_illumination_normalized\IMG_0511.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0511.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0511.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,216.881,189.803,899.12,1305.867
data\processed\01_illumination_normalized\IMG_0512.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0512.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0512.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0,209.079,179.735,752.751,1141.616
