source_file,grayscale_file,grayscale_bgr2gray_file,grayscale_lab_l_file,grayscale_ycrcb_y_file,gaussian_file,bilateral_file,width,height,processing_step,grayscale_method,gaussian_kernel_size,gaussian_sigma_x,bilateral_diameter,bilateral_sigma_color,bilateral_sigma_space
data\processed\01_illumination_normalized\IMG_0502.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0502.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0502.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0503.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0503.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0503.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0504.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0504.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0504.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0505.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0505.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0505.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0506.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0506.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0506.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0507.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0507.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0507.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0508.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0508.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0508.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0509.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0509.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0509.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0510.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0510.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0510.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0511.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0511.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0511.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
data\processed\01_illumination_normalized\IMG_0512.png,,,data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0512.png,,,data\processed\02_grayscale_blur\bilateral_filter\IMG_0512.png,3024,4032,02_grayscale_and_blur,lab_l,,,15,75.0,75.0
