source_file,cleaned_output_file,roi_output_file,width,height,processing_step,input_from_step_02,canny_mode,threshold_1,threshold_2,aperture_size,use_l2_gradient,auto_sigma,preprocessing_enabled,preprocessing_gaussian_kernel_size,preprocessing_gaussian_sigma_x,postprocessing_enabled,dilate_iterations,dilate_kernel_size,close_kernel_size,open_kernel_size,erode_iterations,erode_kernel_size
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0502.png,data\processed\03_edges\cleaned\IMG_0502.png,data\processed\03_edges\roi_edges\IMG_0502.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0503.png,data\processed\03_edges\cleaned\IMG_0503.png,data\processed\03_edges\roi_edges\IMG_0503.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0504.png,data\processed\03_edges\cleaned\IMG_0504.png,data\processed\03_edges\roi_edges\IMG_0504.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0505.png,data\processed\03_edges\cleaned\IMG_0505.png,data\processed\03_edges\roi_edges\IMG_0505.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0506.png,data\processed\03_edges\cleaned\IMG_0506.png,data\processed\03_edges\roi_edges\IMG_0506.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0507.png,data\processed\03_edges\cleaned\IMG_0507.png,data\processed\03_edges\roi_edges\IMG_0507.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0508.png,data\processed\03_edges\cleaned\IMG_0508.png,data\processed\03_edges\roi_edges\IMG_0508.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0509.png,data\processed\03_edges\cleaned\IMG_0509.png,data\processed\03_edges\roi_edges\IMG_0509.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0510.png,data\processed\03_edges\cleaned\IMG_0510.png,data\processed\03_edges\roi_edges\IMG_0510.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0511.png,data\processed\03_edges\cleaned\IMG_0511.png,data\processed\03_edges\roi_edges\IMG_0511.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
data\processed\02_grayscale_blur\grayscale_lab_l\IMG_0512.png,data\processed\03_edges\cleaned\IMG_0512.png,data\processed\03_edges\roi_edges\IMG_0512.png,3024,4032,03_edge_detection,grayscale_lab_l,manual,40,120,3,True,0.33,False,3,0.0,True,1,"[3, 3]","[3, 3]","[0, 0]",0,"[3, 3]"
